,код СКМТР,Наименование,Маркировка,Регламенты (ГОСТ/ТУ),Параметры,Базисная Единица измерения,ОКПД2,is_tu,ОКПД2_сокр,Параметры парс
152729,4025200919,БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА,FSP GROUP ATX-600PNR 600W,,600ВТ,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152730,4025200925,АККУМУЛЯТОР ПОРТАТИВНЫЙ ДЛЯ ЗАРЯДКИ МОБИЛЬНЫХ УСТРОЙСТВ,ICONBIT FTB10400DX,,"10400МА/ЧАС USB LED ИНДИКАТОР 93Х78Х22,5",796,26.20.40.110,0,26,|назначение|тип|модель совместимого устройства|тип аккумулятора
152731,4025200926,АККУМУЛЯТОР ПОРТАТИВНЫЙ ДЛЯ ЗАРЯДКИ МОБИЛЬНЫХ УСТРОЙСТВ,ICONBIT FTB20800DX,,20800МА/ЧАС USB LED ИНДИКАТОР 165Х80Х23,796,26.20.40.110,0,26,|назначение|тип|модель совместимого устройства|тип аккумулятора
152732,4025200929,БЛОК ПИТАНИЯ НА DIN-РЕЙКУ,DRA240-24A,,24В 240ВТ 10А,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152733,4025200934,БЛОК ПИТАНИЯ МОДУЛЬНЫЙ,TERRA UP410S,,"12В 4,5А DIN-RAIL",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152734,4025200939,БЛОК ПИТАНИЯ,CORSAIR CS CP-9020078-EU,,"750ВТ 80 PLUS GOLD, ATX V2.3, EPS, ACTIVE PFC, DВЕНТ=120",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152735,4025200943,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,POWERCOM WOW 500UWOW-500A-6GG-2440,,500ВА 250ВТ,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152737,4025200949,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,SVEN POWER PRO+600,,600ВА 350ВТ 95Х160Х335,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152738,4025200955,БЛОК ПИТАНИЯ,HP 361392-001,,460ВТ,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152739,4025200956,БЛОК ПИТАНИЯ,HP 399771-021,,350/370/380ВТ G5,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152740,4025200961,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,BACK-UPS BC500-RS,,500ВА/300ВТ ЧЕРНЫЙ,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152741,4025200962,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,SMART UPS 7SMT750I,,750ВА/500ВТUSB ЧЕРНЫЙ,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152742,4025200965,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,IPPON INNOVA RT2000,,"1800ВТ, 8 РОЗЕТОК, 4 АККУМУЛЯТОРА 12В, 9А/ЧАС",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152743,4025200967,БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА,COOLER MASTER RS-850-AFBA-G1,,850ВТ ATX12V 2.3 86Х150Х170,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152744,4025200970,МОДУЛЬ ПИТАНИЯ,TRACO POWER TMV 0505S,,КОРПУС SIP-7,796,26.20.40.110,0,26,аритикул маркета|модель/исполнение|номин. напряжение|емкость батареи|особенности
152745,4025200978,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,DEXP EURO 1200VA,,"1200ВА/720ВТ 175Х200Х400 10,9КГ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152746,4025200998,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,FSP GROUP VIVA 600,,"600ВА/360ВТ 160-280/220В 6МСЕК 101X142X279 4,25КГ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152747,4025200983,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,POWERCOM SPD-1000U SPD-1K00-6G0-244U,,"1000ВА/550ВТ/800ДЖ/8XCEE 7/285Х232Х103/7,8КГ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152748,4025200985,БЛОК ПИТАНИЯ,ARLIGHT APS-35-5,,"5В, 7А, 35ВТ, UВХОД.=85-265В AC",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152749,4025200986,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,IPPON BACK COMFO PRO 600 9C82-43000-F0,,"600ВА/360ВТ/RS-232 USB/8Ч/40ДБ/295Х120Х202/5,7КГ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152750,4025200987,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,MEAN WELL DRP-480-24,,"24В, 20А, 480ВТ, 227Х125.2Х100",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152751,4025200988,БЛОК ПИТАНИЯ,HP AD-053,,"19В 4,74А 90ВТ",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152752,4025200989,ИСТОЧНИК ПИТАНИЯ,OPTIMUS-1220,,12-13В 2А,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152753,4025201003,БЛОК ПИТАНИЯ,МАГИСТР MPA-AC1 LZ12040,,100-240/12В 4А,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152754,4025201004,БЛОК ПИТАНИЯ,SCHROFF 13100-141,,"250ВТ 90-264В AC/5В DC, 3,3В DC, 12В DC, -12В DC, P47, СИГНАЛИЗАЦИЯ COMPACTPCI, 162,5Х128,7Х40,6, 0,8КГ",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152762,4025201023,БЛОК ПИТАНИЯ СЕРВЕРА,HP DPS-800GB 403781-001,,1000ВТ 100-240В,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152763,4025201026,БЛОК ПИТАНИЯ СЕРВЕРА,HUAWEI WEPW80015,,460ВТ,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152764,4025201033,ИСТОЧНИК ПИТАНИЯ ВЫСОКОВОЛЬТНЫЙ,SPELLMAN MPS 5P 20/24/VCC,,"24В/5КВ 20ВТ 33,5Х95Х150 730Г",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152765,4025201037,БЛОК ПИТАНИЯ,CORSAIR VS 450W CP-9020049-NA,,"450ВТ ATX 12В 2,3/EPS 12В, PFC, 24+8+2Х6/8PIN/88Х150Х140/2,5КГ",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152766,4025201039,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,ИБП-14/12-10М,,14В 2А IP20 61Х108Х90,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152767,4025201046,БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА,EXEGATE ATX-AB450,,"450 ВТ ATX12V 2,3 86Х150Х140 0,75КГ",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152768,4025201049,БЛОК ПИТАНИЯ СЕРВЕРА,HP 499250-201,,"460ВТ 12В 38,1Х86,3Х190,5 1,36КГ",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152769,4025201050,БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА,GIGABYTE GIGABYTE ATX-H450K GZ-EBS45N-C3,,"ATX 450ВТ 1ВЕНТИЛЯТОР D=120 20+4PIN 86Х150Х140 1,345КГ",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152770,4025201051,АККУМУЛЯТОР ЛИТИЙ-ИОННЫЙ,"SAMSUNG 18650-2,6AH 13SP6 30A",,"48В 15,6A/ЧАС",796,26.20.40.110,0,26,|назначение|тип|модель совместимого устройства|тип аккумулятора
152771,4025201052,БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА,CHIEFTEC GPE-600S,,"600ВТ ATX12V 2.3 140Х150Х87 0,6КГ",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152772,4025201054,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,POWERCOM RPT-600A,,"360ВТ 160-275В 3ХIEC320C13 100Х140Х278 4,2КГ ЧЕРНЫЙ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152773,4025201055,БЛОК ПИТАНИЯ,ACCORD ACC-350-12350W,,"350ВТ 86Х150Х140 1,12КГ",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152774,4025201063,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,POWERCOM SPIDER SPD-850N,,"850ВА165-275В 285Х103Х232, 4,37КГ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152775,4025201069,БЛОК ЭЛЕКТРОПИТАНИЯ И УПРАВЛЕНИЯ,СОНАТА-ИП4.2 ЮДИН.665230.010-02,ЮДИН.665230.010 ТУ,"12,5В 1500МА USB2.0 RJ45 172Х142Х60 0,61КГ",796,26.20.40.110,1,26,|форм-фактор|мощность|стандарт эффективности|pfc
152776,4025201071,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,APC BACK-UPS PRO 1200 BR1200GI,,"1200ВА /720ВТ 112Х302Х382 12,7КГ ЧЕРНЫЙ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152777,4025201075,БЛОК ПИТАНИЯ,COOLER MASTER V750 MODULAR RS750-AFBAG1,,750ВТ ATX12V 2.3 DВЕНТ=120 86Х150Х140,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152779,4025201090,БЛОК ПИТАНИЯ СЕРВЕРА,HP HOT PLUG REDUNDANT POWER SUPPLY 225075-B21,,500ВТ 2Х12В,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152780,4025201091,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,EXEGATE POWER SMART ULB-600 LCD,,"600ВА 160/290В 101Х142Х298 4,25КГ ЧЕРНЫЙ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152781,4025201092,БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА,THERMALTAKE TOUGHPOWER GRAND RGB 850W GOLD FULLY MODULAR TPG-850AH3FSG-R,,"850ВТ ATX12B V2,4 DВЕНТИЛЯТОРА=140 150Х160Х86",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152782,4025201093,ИСТОЧНИК ВТОРИЧНОГО ЭЛЕКТРОПИТАНИЯ РЕЗЕРВИРОВАННЫЙ,БАСТИОН SKAT-24-2.0-DIN,,187-242В/21-28В 2А 70ВА 2АКБ=7А/ЧАС IP20 139Х89Х65,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152783,4025201094,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,APC ONLINE-UPS SRC1KI,,"1000ВА/800ВТ 100-280В USB/ETHERNET 145Х230Х397 9,2КГ ЧЕРНЫЙ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152784,4025201095,БЛОК ПИТАНИЯ,CHIEFTEC GPA-550S 550W,,550ВТ ATX12В 2.3 20+4PIN DВЕНТИЛЯТОРА=120 86Х150Х140 СЕРЫЙ,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152785,4025201096,БЛОК ПИТАНИЯ,CORSAIR TX750M CP-9020131-EU,,"750ВТ ATX12В 2.4/EPS12V 20+4PIN DВЕНТИЛЯТОРА=120 80PLUS GOLD 86Х150Х140 1,7КГ ЧЕРНЫЙ",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152786,4025201097,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,CYBERPOWER BU1000E,,"1000ВА/600ВТ 165-280В РАЗЪЕМОВ=4 190Х111Х290 6,9КГ ЧЕРНЫЙ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152787,4025201098,БЛОК ПИТАНИЯ,EXEGATE ATX-1000PPX 1000W,,"1000ВТ ATX12В 2.3 DВЕНТИЛЯТОРА=140 86Х150Х160 1,9КГ ЧЕРНЫЙ",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152788,4025201117,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,IPPON BACK VERSO 600 751617,,"600ВА/300ВТ/6РАЗЪЕМОВ/UPSХ4/RJ-11/RJ-45 320Х125Х86 3,7КГ ЧЕРНЫЙ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152789,4025201116,БЛОК ПИТАНИЯ,THERMALTAKE НЕВА 750W W0427RE,,"750ВТ ATX12V 2.3/EPS12V ВЕНТИЛЯТОР=140Х140 160Х150Х86 1,82КГ",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152790,4025201127,ИСТОЧНИК ПИТАНИЯ,MEAN WELL RSD-300D-48,,"DC=67,2-143В/48В 0-6,3А 302ВТ 216Х97Х40",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152791,4025201128,АККУМУЛЯТОР ПОРТАТИВНЫЙ ДЛЯ ЗАРЯДКИ МОБИЛЬНЫХ УСТРОЙСТВ,ICONBIT FTB10000SL,,10000МА/ЧАС LI-POL USB/MICROUSB 5В 2А 136Х72Х15 217Г ЧЕРНЫЙ,796,26.20.40.110,0,26,|назначение|тип|модель совместимого устройства|тип аккумулятора
152792,4025201129,АДАПТЕР ПИТАНИЯ УНИВЕРСАЛЬНЫЙ,BURO BUM-0221B90,,"90ВТ 12-20В 11-КОННЕКТОРОВ 4,5А 1ХUSB=2,4А LКАБЕЛЯ=1М 60Х31Х135 385Г ЧЕРНЫЙ",796,26.20.40.110,0,26,|цвет товара|выход. напряжение (мин)|тип|корпус
152793,4025201130,БЛОК ПИТАНИЯ,CORSAIR CX550M CP-9020102-EU,,ATX 12V V.2.4 550ВТ МОДУЛЬ PFC 150Х86Х140,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152794,4025201134,БЛОК ПИТАНИЯ ДЛЯ НОУТБУКА,LENOVO IDEAPAD 720S-13IKB,,"45ВТ 20В 2.25А 4,0Х1,7",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152795,4025201137,АДАПТЕР ПИТАНИЯ УНИВЕРСАЛЬНЫЙ,BURO BUM-1187H90,,"90ВТ 12-24В 100-240В 11-КОННЕКТОРОВ 64Х36Х135 0,52КГ ЧЕРНЫЙ",796,26.20.40.110,0,26,|цвет товара|выход. напряжение (мин)|тип|корпус
152796,4025201142,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,DEXP CEE 650VA,,"650ВА 162-268В LED ДИСПЛЕЙ АКБ-12В 7А/ЧАС 279Х101Х142 4,2КГ ЧЕРНЫЙ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152797,4025201144,БЛОК ПИТАНИЯ УНИВЕРСАЛЬНЫЙ ДЛЯ НОУТБУКОВ,TIRZO KS-271,,"90ВТ 24В 5А 8 КОННЕКТОРОВ 118Х60Х37 0,2КГ ЧЕРНЫЙ",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152798,4025201145,БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА,ACCORD ACC-500W-12,,"ATX 500ВТ РАЗЪЕМЫ-24+4+4PIN/6+2 PIN/PERIPHERAL (MOLEX-2ШТ/SATA-4ШТ/FDD, PFC, FAN D=120,150Х86Х140",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152799,4025201149,БЛОК ПИТАНИЯ,CORSAIR HX850I CP-9020073-EU,,ATX 12V V2.4 850ВТ DВЕНТ=140 180Х150Х86,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152800,4025201151,БЛОК ПИТАНИЯ ДЛЯ СЕТЕВОГО ОБОРУДОВАНИЯ,DVE DSA-6E-05EU 050100,,"5В 5ВТ 1А ШТЕКЕР=5,5-2,5 0,125КГ",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152801,4025201152,АККУМУЛЯТОР ПОРТАТИВНЫЙ ДЛЯ ЗАРЯДКИ МОБИЛЬНЫХ УСТРОЙСТВ,HIPER POWER BANK MPX20000,,"20000МА/ЧАС 74ВТ/ЧАС LI-POL 2ХUSB, USB TYPE-C, MICRO USB 67Х137Х24,7 0,386КГ СЕРЕБРИСТЫЙ",796,26.20.40.110,0,26,|назначение|тип|модель совместимого устройства|тип аккумулятора
152803,4025201155,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,POWERCOM SPIDER SPD-650N,,"390ВТ 650ВА 285Х232Х103 3,67КГ ЧЕРНЫЙ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152804,4025201156,БЛОК ПИТАНИЯ ДЛЯ НОУТБУКОВ,DELL O5U092,,"19,5В 9,23А 180ВТ",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152805,4025201158,БЛОК ПИТАНИЯ,POWERMAN PM-600ATX-F,,600ВТ ATX 12V V2.2/PS2 150Х140Х86 1.22КГ,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152806,4025201159,БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА,AEROCOOL CYLON 600,,ATX12V DВЕНТИЛЯТОРА=120 600ВТ 80PLUS CPU/PCI-E/SATA/MOLEX/FLOPPY 150Х86 ЧЕРНЫЙ,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152807,4025201163,БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА,AEROCOOL VX PLUS 600W,,ATX12V 2.3 600ВТ 24+4+4PIN DВЕНТИЛЯТОРА=120 140Х86Х150,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152808,4025201169,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,IPPON SMART WINNER 1000 NEW 678355,,"900ВТ 1000ВА, 4ХIEC C13, USB, RS232, 438Х86,5Х436 13,2КГ ЧЕРНЫЙ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152809,4025201170,БЛОК ПИТАНИЯ,MEANWELL DR-30-24,,"36ВТ AC=85-264В/DC=24В 1,5А 78Х93Х56 0,27КГ",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152810,4025201171,БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА,COOLER MASTER MWE GOLD750 MPY-7501-AFAAG,,750ВТ ATX 12В 20+4PIN DВЕНТИЛЯТОРА=120 160Х150Х86,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152811,4025201173,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,DEXP CEE-E PRO 650VA,,"650ВА 12В 7АЧАС 162-268В USB/RJ-11/RJ-45 101Х279Х142 4,2КГ ЧЕРНЫЙ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152812,4025201190,БЛОК ПИТАНИЯ,CORSAIR TX850M,,850ВТ 12В ATX V2.3 ВЕНТИЛЯТОР-D=140 160Х150Х86 2.869КГ,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152813,4025201177,БЛОК ПИТАНИЯ ДЛЯ НОУТБУКОВ,FSP NB V65,,"100-240В/18В 65ВТ 40,5Х100,7Х30 453Г",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152814,4025201179,БЛОК ПИТАНИЯ СЕТЕВОЙ,MEAN WEL GS06E-1P1J,,"AC/DC 5В 1А ШТЕКЕР P1J D=5,5/2,1 L=9,5 32Х66Х42,5 100Г",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152815,4025201191,БЛОК ПИТАНИЯ ДЛЯ НОУТБУКА,ASUS EXA0904YH,,"100-240/19В 4.74А 90ВТ КОННЕКТО-5,5Х2,5",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152816,4025240010,БЛОК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,BACK UPS APC,,650ВТ,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152817,4025240028,БЛОК ПИТАНИЯ,FSP 350W PA V.2.1,,350ВТ,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152818,4025240035,БЛОК ПИТАНИЯ,ANSMANN APS 1612,,"3-12В 1,6А",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152819,4025240040,БЛОК ПИТАНИЯ,FSP BLUE STORM AX500-A,,500ВТ,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152820,4025240041,БЛОК ПИТАНИЯ,FSP ATX-300PNF,,300ВТ,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152821,4025240042,БЛОК ПИТАНИЯ К КОМПЬЮТЕРУ,ASUS A-55GA,,550ВТ,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152822,4025240043,БЛОК ПИТАНИЯ К КОМПЬЮТЕРУ,IN WIN IP-S450AQ3-0,,450ВТ,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152823,4025240045,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,CYBERPOWER V 800EBI,,800ВА 480ВТ,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152824,4025240047,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,CYBERPOWER CP1350E,,1350ВА 810ВТ,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152825,4025240049,БЛОК ПИТАНИЯ КОМПЬЮТЕРА,FSP GROUP ATX-450PNF,,450ВТ ATX 12V 2.2,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152826,4025240050,БЛОК ПИТАНИЯ КОМПЬЮТЕРА,FSP GROUP ATX-300PAF,,300ВТ 12V 2.01,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152827,4025240052,БЛОК ПИТАНИЯ,FSP ATX-450 PNR,,"450ВТ REV 2.0 86Х150Х140 1,3КГ",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152828,4025240053,БЛОК ПИТАНИЯ,FSP ATX-300 PNR,,300ВТ REV 2.0,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152829,4025240056,БЛОК ПИТАНИЯ,ATX DELTA GPS-500AB-A,,500ВТ,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152830,4025240058,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,CYBERPOWER BRICS 850E,,850ВА 510ВТ,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152831,4025240061,БЛОК ПИТАНИЯ,FSP GROUP ATX-500PNR,,500ВТ/ATX12V2.2/20+4PIN/4-PIN CPU-1ШТ/6+2-PIN PCI-E-1ШТ/15-PIN SATA-2ШТ/4-PIN IDE-5ШТ/4-PIN FLOPPY-1ШТ/86X150X140,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152832,4025240062,БЛОК ПИТАНИЯ,FSP ATX-550PNR,,550ВТ 120ММ,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152833,4025240065,БЛОК ПИТАНИЯ,ATX SUPER POWER Q500W,,500ВТ,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152834,4025240066,БЛОК ПИТАНИЯ КОММУТАТОРА ДЛЯ МОНТАЖА НА DIN-РЕЙКУ,MOXA DR-4524,,85-264/24В 45ВТ 2А 78Х93Х67,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152835,4025240069,БЛОК ПИТАНИЯ,LINKWORLD LW2-350W LPE ATX,,350ВТ,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152836,4025240071,БЛОК ПИТАНИЯ ДЛЯ НОУТБУКА,FSP ATX MP-350W P4,,350ВТ,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152837,4025240072,БЛОК ПИТАНИЯ,HIPRO HPE450W,,450ВТ,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152838,4025240037,БЛОК ПИТАНИЯ МОНИТОРА,UP060B1190,,19В 3.42А 60ВТ,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152839,4025240074,БЛОК ПИТАНИЯ НА DIN-РЕЙКУ,MEAN WELL DR-100-24,,"88-264/24В 100ВТ 4,2А 1ВЫХОД 100Х93Х56ММ",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152840,4025240076,БЛОК СИЛОВЫХ РОЗЕТОК ГОРИЗОНТАЛЬНЫЙ,HYPERLINE SHT19-6SH-B-2.5EU,,"19ДЮЙМОВ 6РОЗЕТОК 16А ШНУР2,5М",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152841,4025240078,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,APC SUA1000XLI,,800ВА,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152843,4025240084,БЛОК ПИТАНИЯ,ATX 350W (P4) CODEGEN (Q),,350ВТ ATX12V,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152844,4025240091,БЛОК ПИТАНИЯ,FSP EVEREST 85PLUS 600W,,600ВТ ATX,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152845,4025240092,БЛОК ПИТАНИЯ ИМПУЛЬСНЫЙ,MDR100-24,,24В 4А 100ВТ,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
