,форм-фактор,мощность,стандарт эффективности,pfc,тип товара в одно слово,тип товара в 2 слова,Наименование,Параметры_изначальные,тип,длина кабеля,особенности,максимальная нагрузка,выходная мощность,выходных разъемов,разъемов с питанием от батареи,интерфейсы,аритикул маркета,модель/исполнение,номин. напряжение,емкость батареи,источник света,тип цоколя,тип питания,Тип товара в одно слово,Тип товара в 2 слова,артикул маркета,тип товара в два слова,назначение,модель совместимого устройства,тип аккумулятора,цвет товара,выход. напряжение (мин),корпус,артикула маркета
112,,,,,источник,бесперебойное питание,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['525ВА 300ВТ'],,,,,300,,,,,,,,,,,,,,,,,,,,,
113,,75,,,блок,блок питания,['БЛОК ПИТАНИЯ МОНИТОРА'],['6-15В 5А 75ВТ'],,,,,,,,,,,,,,,,,,,,,,,,,,
114,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['500ВТ'],,,,,500 вт,,,,,,,,,,,,,,,,,,,,,
115,,90,,,блок,блок питания,['БЛОК ПИТАНИЯ ДЛЯ НОУТБУКА УНИВЕРСАЛЬНЫЙ'],['90ВТ 15/16/18/19/20/21В USB'],,,,,,,,,,,,,,,,,,,,,,,,,,
116,,,,,блок,батарейный блок,['БЛОК БАТАРЕЙНЫЙ ДЛЯ ИСТОЧНИКА БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['48В 31МИН 0-40С ЧЕРНЫЙ'],,,,,,,,,,,,,,,,,,,,,,,,,,
117,,12,,,блок,блок электропитания,['БЛОК ЭЛЕКТРОПИТАНИЯ ИМПУЛЬСНЫЙ'],['12В 1А'],,,,,,,,,,,,,,,,,,,,,,,,,,
118,,,,,аккумулятор,аккумулятор для,['АККУМУЛЯТОР ДЛЯ НОУТБУКА'],['64ВТ'],ноутбук,,,,,,,,,,,,,,,,,,,,,li-ion,,,,
119,,60,,,блок,блок питания,['БЛОК ПИТАНИЯ'],"['19В 3,16А 60ВТ']",,,,,,,,,,,,,,,,,,,,,,,,,,
120,,,,,источник,источник вторичного,['ИСТОЧНИК ВТОРИЧНОГО ЭЛЕКТРОПИТАНИЯ РЕЗЕРВИРОВАННЫЙ'],['24В 6-10А'],,,,,2400,,,,,,,,,,,,,,,,,,,,,
121,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['650ВА 360В'],,,,,650,,,,,,,,,,,,,,,,,,,,,
122,,460,,,блок,блок питания,['БЛОК ПИТАНИЯ СЕРВЕРА'],['460ВТ 12В'],,,,,,,,,,,,,,,,,,,,,,,,,,
123,,800,,,блок,блок питания,['БЛОК ПИТАНИЯ СЕРВЕРА'],['800ВТ'],,,,,,,,,,,,,,,,,,,,,,,,,,
124,,,,,источник,источник электропитания,['ИСТОЧНИК РЕЗЕРВНОГО ЭЛЕКТРОПИТАНИЯ'],['24В 20А'],,,,,2400,,,,,,,,,,,,,,,,,,,,,
125,,499,,,блок,блок питания,['БЛОК ПИТАНИЯ'],['499ВТ 240В 7А 50/60ГГЦ'],,,,,,,,,,,,,,,,,,,,,,,,,,
126,,500,,,блок,блок питания,['БЛОК ПИТАНИЯ'],['500 ВТ'],,,,,,,,,,,,,,,,,,,,,,,,,,
127,,10,,,блок,блок питания,['БЛОК ПИТАНИЯ'],['10ВТ'],,,,,,,,,,,,,,,,,,,,,,,,,,
128,,,,,ибп,источник электропитания,['ИСТОЧНИК ВТОРИЧНОГО ЭЛЕКТРОПИТАНИЯ РЕЗЕРВИРОВАННЫЙ'],['48В 3-10А'],,,,,3-10а,,,,,,,,,,,,,,,,,,,,,
129,atx,700,,,блок,блок питания,['БЛОК ПИТАНИЯ'],"['700ВТ ATX 12В 2,3 A.PFC, FAN 14 СМ TRI-COLOR LEDS, RETAIL']",,,,,,,,,,,,,,,,,,,,,,,,,,
130,atx,550,,,блок,блок питания,['БЛОК ПИТАНИЯ'],"['550ВТ ATX 12В 2,2 A, FAN 12СМ, RETAIL']",,,,,,,,,,,,,,,,,,,,,,,,,,
131,atx,600,,,блок,блок питания,['БЛОК ПИТАНИЯ'],"['600ВТ ATX 12В 2.3 A, FAN 12СМ, RETAL']",,,,,,,,,,,,,,,,,,,,,,,,,,
132,atx,600,,active,блок,блок питания,['БЛОК ПИТАНИЯ'],"['600ВТ ATX, FAN 12СМ, ACTIVE PFC, OEM']",,,,,,,,,,,,,,,,,,,,,,,,,,
133,,300ма,,,блок,блок питания,['БЛОК ПИТАНИЯ ДЛЯ ПРИНТЕРА'],['230/32-15В 300МА'],,,,,,,,,,,,,,,,,,,,,,,,,,
134,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['500ВА 240ВТ'],,,,,500,,,,,,,,,,,,,,,,,,,,,
135,,,,,аккумулятор,аккумулятор для,['АККУМУЛЯТОР ДЛЯ НОУТБУКА'],"['14,8В 4,4А/ЧАС']",аккумулятор,,,,,,,,,,,,,,,,,,,,hp compaq 395794-003,,,,,
136,atx matx,600,85plus,,блок,блок питания,['БЛОК ПИТАНИЯ'],['600ВТ ATX MATX'],,,,,,,,,,,,,,,,,,,,,,,,,,
137,,,,,адаптер,адаптер питания,['АДАПТЕР ПИТАНИЯ ЖИДКОКРИСТАЛЛИЧЕСКОГО МОНИТОРА'],['100-240/14В 3А'],адаптер,,,,,,,,,,,,,,,,,,,,,,,14в,,
138,,145,,,блок,блок питания,['БЛОК ПИТАНИЯ ДЛЯ МОНОБЛОКА'],"['19.5В 7,5А']",,,,,,,,,,,,,,,,,,,,,,,,,,
139,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['500ВА/300ВТ'],,,,,500,,,,,,,,,,,,,,,,,,,,,
140,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['1000ВА'],,,,,1000,,,,,,,,,,,,,,,,,,,,,
141,,,,,источник,,['ИСТОЧНИК ПИТАНИЯ СТАБИЛИЗАТОРНЫЙ'],['12В'],,,,,,,,,,,,,,,,,,,источник питания,,,,,,,
142,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['1000ВА 530ВТ'],,,,,530,,,,,,,,,,,,,,,,,,,,,
143,атх,650,,да,блок,блок питания,['БЛОК ПИТАНИЯ'],"['650ВТ ATX 12В 2,2/EPS 12В, PFC, 20/24+4/8+6/8PIN']",,,,,,,,,,,,,,,,,,,,,,,,,,
144,,,,,адаптер,адаптер питания,['АДАПТЕР ПИТАНИЯ ДЛЯ НОУТБУКОВ УНИВЕРСАЛЬНЫЙ'],['90ВТ 5-22В 5А'],ноутбук,,,,,,,,,,,,,,,,,,,,,,,5в,,
145,,90,,,блок,блок питания,['БЛОК ПИТАНИЯ ДЛЯ НОУТБУКА'],"['19В 4.74А РАЗЪЕМ 5,5Х2,5ММ']",,,,,,,,,,,,,,,,,,,,,,,,,,
146,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['850ВА 480ВТ'],,,,,480,,,,,,,,,,,,,,,,,,,,,
147,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['1500ВА 8650ВТ'],,,,,1500,,,usb,,,,,,,,,,,,,,,,,,
148,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['1000ВА'],,,,,1000,,,,,,,,,,,,,,,,,,,,,
149,,,,,блок,блок питания,['БЛОК ПИТАНИЯ'],[nan],,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,адаптер,адаптер питания,['АДАПТЕР ПИТАНИЯ ДЛЯ НОУТБУКОВ АВТОМОБИЛЬНЫЙ'],['150ВТ'],адаптер питания,,,,,,,,,,,,,,,,,,,,,,,150,,
151,,,,,аккумулятор,аккумулятор для радиостанции,['АККУМУЛЯТОР ДЛЯ РАДИОСТАНЦИИ'],"['NI-MH 7,4B 1200МА/ЧАС 90Х58Х22 180Г']",аккумулятор,,,,,,,,,,,,,,,,,,,,vertex standard fnb-v106,ni-mh,,,,
152,,575,,,блок,блок питания,['БЛОК ПИТАНИЯ'],['575ВТ'],,,,,,,,,,,,,,,,,,,,,,,,,,
153,,,,,источник,источник питания,['ИСТОЧНИК ПИТАНИЯ РЕЗЕРВИРОВАННЫЙ'],['12В-3А-17'],,,,,3,,,,,,,,,,,,,,,,,,,,,
154,atx2.2,550,,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],['550ВТ DВЕНТ=120ММ ATX2.2'],,,,,,,,,,,,,,,,,,,,,,,,,,
155,,200,,,блок,блок питания,['БЛОК ПИТАНИЯ МАРШРУТИЗАТОРА'],['200ВТ 100-240В'],,,,,,,,,,,,,,,,,,,,,,,,,,
156,atx,600,80+bronze,apfc,блок,блок питания,['БЛОК ПИТАНИЯ'],['TATX 600ВТ 80+BRONZE APFC 120MM FAN RTL'],,,,,,,,,,,,,,,,,,,,,,,,,,
157,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['500ВА'],,,,,500,,,,,,,,,,,,,,,,,,,,,
158,,,,,источник,бесперебойное питание,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['600ВА 360ВТ'],,,,,360,,,,,,,,,,,,,,,,,,,,,
159,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['625ВА/375 ВТ'],,,,,375,,,,,,,,,,,,,,,,,,,,,
160,atx12v 2.3,600,,,блок,блок питания,['БЛОК ПИТАНИЯ'],"['600ВТ, ATX12V 2.3']",,,,,,,,,,,,,,,,,,,,,,,,,,
161,atx,500,,,блок питания,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],['500ВТ ATX 12V V.2.31'],,,,,,,,,,,,,,,,,,,,,,,,,,
162,atx,550,,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],['550ВТ ATX12V 2.2'],,,,,,,,,,,,,,,,,,,,,,,,,,
163,,1500,,,блок,блок питания,['БЛОК ПИТАНИЯ'],['1500 ВТ'],,,,,,,,,,,,,,,,,,,,,,,,,,
164,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['3000ВА 2100ВТ'],,,,,2100 вт,,,,,,,,,,,,,,,,,,,,,
165,atx,350 вт,,активный,блок,блок питания,['БЛОК ПИТАНИЯ'],['350ВТ ATX 20+4 PIN REV.2.0 12V 120MM FAN ACTIVE PFC OEM'],,,,,,,,,,,,,,,,,,,,,,,,,,
166,,35,,,блок,блок питания,['БЛОК ПИТАНИЯ ИМПУЛЬСНЫЙ'],"['12В, 3А, 35ВТ']",,,,,,,,,,,,,,,,,,,,,,,,,,
167,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['1000ВА/700ВТ 145Х220Х405 6 КГ'],,,,,700,,,,,,,,,,,,,,,,,,,,,
168,,90 вт,,,блок,блок питания,['БЛОК ПИТАНИЯ УНИВЕРСАЛЬНЫЙ ДЛЯ НОУТБУКОВ'],"['19В, 90ВТ, +9 СМЕННЫХ РАЗЪЕМОВ']",,,,,,,,,,,,,,,,,,,,,,,,,,
169,,1200,,,блок,блок питания,['БЛОК ПИТАНИЯ'],['1200ВТ'],,,,,,,,,,,,,,,,,,,,,,,,,,
170,,2250вт,,,блок,блок питания,['БЛОК ПИТАНИЯ ДЛЯ СЕРВЕРА'],['240В 2250ВТ'],,,,,,,,,,,,,,,,,,,,,,,,,,
171,atx,450,,,блок,блок питания,['БЛОК ПИТАНИЯ'],"['450ВТ ATX12V V2,3']",,,,,,,,,,,,,,,,,,,,,,,,,,
172,,2500,,,блок,блок питания,['БЛОК ПИТАНИЯ'],['AC 200-240В 2500ВТ'],,,,,,,,,,,,,,,,,,,,,,,,,,
173,,45,,,блок,блок питания,['БЛОК ПИТАНИЯ'],"['ВХ: 40-60В, ВЫХ: 5,1В/45А, -5В/4,5А, +12В/7,5А, -12В/1,5А, -60В/0,75А']",,,,,,,,,,,,,,,,,,,,,,,,,,
174,,,,,источник,бесперебойное питание,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['850ВА'],,,,,850,,,,,,,,,,,,,,,,,,,,,
175,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['6000ВА, 240В, USB, RS-232,574Х244Х542']",,,,,6000ва,,,"usb, rs-232",,,,,,,,,,,,,,,,,,
176,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['500ВА/280ВТ, 2ВЫХ.РАЗЪЕМА']",,,,,500,2,,,,,,,,,,,,,,,,,,,,
177,atx,650,,,блок,блок питания,['БЛОК ПИТАНИЯ'],['650ВТ ATX12V 2.3 ВЕНТИЛЯТОР=120 1600-1900ОБ/МИН 85Х150Х141'],,,,,,,,,,,,,,,,,,,,,,,,,,
178,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['48В 3-10А'],,,,,3-10а,,,,,,,,,,,,,,,,,,,,,
179,,250,,,блок,блок питания,['БЛОК ПИТАНИЯ'],['250ВТ'],,,,,,,,,,,,,,,,,,,,,,,,,,
180,,250,,,блок,блок питания,['БЛОК ПИТАНИЯ'],[nan],,,,,,,,,,,,,,,,,,,,,,,,,,
181,,,,,блок,блок питания,['ИСТОЧНИК ПИТАНИЯ ИМПУЛЬСНЫЙ СТАБИЛИЗИРОВАННЫЙ'],['12В 2А'],,,,,2а,,,,,,,,,,,,,,,,,,,,,
182,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['600ВА'],,,,,600,,,,,,,,,,,,,,,,,,,,,
183,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ С КАРТОЙ УПРАВЛЕНИЯ И КОНТРОЛЯ'],"['3000ВА, 10/100BASET, SMARTSLO']",,,,,3000ва,,,10/100base-t,,,,,,,,,,,,,,,,,,
184,atx,600,,,блок,,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],['600ВТ'],,,,,,,,,,,,,,,,,,,блок питания,,,,,,,
185,,,,,аккумулятор,аккумулятор портативный,['АККУМУЛЯТОР ПОРТАТИВНЫЙ ДЛЯ ЗАРЯДКИ МОБИЛЬНЫХ УСТРОЙСТВ'],"['10400МА/ЧАС USB LED ИНДИКАТОР 93Х78Х22,5']",портативный,,,,,,,,,,,,,,,,,,,,,литий-ионный,,,,
186,,,,,аккумулятор,аккумулятор портативный,['АККУМУЛЯТОР ПОРТАТИВНЫЙ ДЛЯ ЗАРЯДКИ МОБИЛЬНЫХ УСТРОЙСТВ'],['20800МА/ЧАС USB LED ИНДИКАТОР 165Х80Х23'],аккумулятор,,,,,,,,,,,,,,,,,,,,,,,,,
187,din-рейка,240,,,блок,блок питания,['БЛОК ПИТАНИЯ НА DIN-РЕЙКУ'],['24В 240ВТ 10А'],,,,,,,,,,,,,,,,,,,,,,,,,,
188,модульный,54 ватт,,,блок,блок питания,['БЛОК ПИТАНИЯ МОДУЛЬНЫЙ'],"['12В 4,5А DIN-RAIL']",,,,,,,,,,,,,,,,,,,,,,,,,,
189,atx,750,80 plus gold,active,блок,блок питания,['БЛОК ПИТАНИЯ'],"['750ВТ 80 PLUS GOLD, ATX V2.3, EPS, ACTIVE PFC, DВЕНТ=120']",,,,,,,,,,,,,,,,,,,,,,,,,,
190,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['500ВА 250ВТ'],,,,,500,,,,,,,,,,,,,,,,,,,,,
191,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['600ВА 350ВТ 95Х160Х335'],,,,,350 вт,,,,,,,,,,,,,,,,,,,,,
192,,460,,,блок,блок питания,['БЛОК ПИТАНИЯ'],['460ВТ'],,,,,,,,,,,,,,,,,,,,,,,,,,
193,,350/370/380,,,блок,блок питания,['БЛОК ПИТАНИЯ'],['350/370/380ВТ G5'],,,,,,,,,,,,,,,,,,,,,,,,,,
194,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['500ВА/300ВТ ЧЕРНЫЙ'],,,,,300,,,,,,,,,,,,,,,,,,,,,
195,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['750ВА/500ВТUSB ЧЕРНЫЙ'],,,,,500,,,usb,,,,,,,,,,,,,,,,,,
196,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['1800ВТ, 8 РОЗЕТОК, 4 АККУМУЛЯТОРА 12В, 9А/ЧАС']",,,,,1800 вт,8,4,,,,,,,,,,,,,,,,,,,
197,atx,850,86,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],['850ВТ ATX12V 2.3 86Х150Х170'],,,,,,,,,,,,,,,,,,,,,,,,,,
198,,,,,модуль,модуль питания,['МОДУЛЬ ПИТАНИЯ'],['КОРПУС SIP-7'],,,,,,,,,,tmv 0505s,,,,,,,,,,,,,,,,
199,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['1200ВА/720ВТ 175Х200Х400 10,9КГ']",,,,,720,,,,,,,,,,,,,,,,,,,,,
200,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['600ВА/360ВТ 160-280/220В 6МСЕК 101X142X279 4,25КГ']",,,,,360,,,,,,,,,,,,,,,,,,,,,
201,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['1000ВА/550ВТ/800ДЖ/8XCEE 7/285Х232Х103/7,8КГ']",,,,,550,8,,,,,,,,,,,,,,,,,,,,
202,,35,,,блок,блок питания,['БЛОК ПИТАНИЯ'],"['5В, 7А, 35ВТ, UВХОД.=85-265В AC']",,,,,,,,,,,,,,,,,,,,,,,,,,
203,,,,,источник,бесперебойное питание,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['600ВА/360ВТ/RS-232 USB/8Ч/40ДБ/295Х120Х202/5,7КГ']",,,,,360,8,,"rs-232, usb",,,,,,,,,,,,,,,,,,
204,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['24В, 20А, 480ВТ, 227Х125.2Х100']",,,,,480,,,,,,,,,,,,,,,,,,,,,
205,,,,,источник,источник питания,['ИСТОЧНИК ПИТАНИЯ'],['12-13В 2А'],,,,,2а,,,,,,,,,,,,,,,,,,,,,
206,,48,,,блок,блок питания,['БЛОК ПИТАНИЯ'],['100-240/12В 4А'],,,,,,,,,,,,,,,,,,,,,,,,,,
207,,250,,,блок,блок питания,['БЛОК ПИТАНИЯ'],"['250ВТ 90-264В AC/5В DC, 3,3В DC, 12В DC, -12В DC, P47, СИГНАЛИЗАЦИЯ COMPACTPCI, 162,5Х128,7Х40,6, 0,8КГ']",,,,,,,,,,,,,,,,,,,,,,,,,,
208,,1000,,,блок,блок питания,['БЛОК ПИТАНИЯ СЕРВЕРА'],['1000ВТ 100-240В'],,,,,,,,,,,,,,,,,,,,,,,,,,
209,,460,,,блок,блок питания,['БЛОК ПИТАНИЯ СЕРВЕРА'],['460ВТ'],,,,,,,,,,,,,,,,,,,,,,,,,,
210,,,,,источник,источник питания,['ИСТОЧНИК ПИТАНИЯ ВЫСОКОВОЛЬТНЫЙ'],"['24В/5КВ 20ВТ 33,5Х95Х150 730Г']",,,,,20,,,,,,,,,,,,,,,,,,,,,
211,atx,450,,,блок,блок питания,['БЛОК ПИТАНИЯ'],"['450ВТ ATX 12В 2,3/EPS 12В, PFC, 24+8+2Х6/8PIN/88Х150Х140/2,5КГ']",,,,,,,,,,,,,,,,,,,,,,,,,,
212,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['14В 2А IP20 61Х108Х90'],,,,,2,,,,,,,,,,,,,,,,,,,,,
213,atx,450,86,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],"['450 ВТ ATX12V 2,3 86Х150Х140 0,75КГ']",,,,,,,,,,,,,,,,,,,,,,,,,,
214,,460,,,блок,блок питания,['БЛОК ПИТАНИЯ СЕРВЕРА'],"['460ВТ 12В 38,1Х86,3Х190,5 1,36КГ']",,,,,,,,,,,,,,,,,,,,,,,,,,
215,atx,450,20+4pin,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],"['ATX 450ВТ 1ВЕНТИЛЯТОР D=120 20+4PIN 86Х150Х140 1,345КГ']",,,,,,,,,,,,,,,,,,,,,,,,,,
216,,,,,аккумулятор,аккумулятор литий-ионный,['АККУМУЛЯТОР ЛИТИЙ-ИОННЫЙ'],"['48В 15,6A/ЧАС']",литий-ионный,,,,,,,,,,,,,,,,,,,,,18650,,,,
217,atx,600,,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],"['600ВТ ATX12V 2.3 140Х150Х87 0,6КГ']",,,,,,,,,,,,,,,,,,,,,,,,,,
218,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['360ВТ 160-275В 3ХIEC320C13 100Х140Х278 4,2КГ ЧЕРНЫЙ']",,,,,360,3,,,,,,,,,,,,,,,,,,,,
219,,350,86,,блок,блок питания,['БЛОК ПИТАНИЯ'],"['350ВТ 86Х150Х140 1,12КГ']",,,,,,,,,,,,,,,,,,,,,,,,,,
220,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['850ВА165-275В 285Х103Х232, 4,37КГ']",,,,,850,,,,,,,,,,,,,,,,,,,,,
221,,1500ма,,,блок,блок электропитания,['БЛОК ЭЛЕКТРОПИТАНИЯ И УПРАВЛЕНИЯ'],"['12,5В 1500МА USB2.0 RJ45 172Х142Х60 0,61КГ']",,,,,,,,,,,,,,,,,,,,,,,,,,
222,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['1200ВА /720ВТ 112Х302Х382 12,7КГ ЧЕРНЫЙ']",,,,,1200,,,,,,,,,,,,,,,,,,,,,
223,atx,750,80 plus gold,,блок,блок питания,['БЛОК ПИТАНИЯ'],['750ВТ ATX12V 2.3 DВЕНТ=120 86Х150Х140'],,,,,,,,,,,,,,,,,,,,,,,,,,
224,,500,,,блок,блок питания,['БЛОК ПИТАНИЯ СЕРВЕРА'],['500ВТ 2Х12В'],,,,,,,,,,,,,,,,,,,,,,,,,,
225,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['600ВА 160/290В 101Х142Х298 4,25КГ ЧЕРНЫЙ']",,,,,600,,,,,,,,,,,,,,,,,,,,,
226,atx,850,gold,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],"['850ВТ ATX12B V2,4 DВЕНТИЛЯТОРА=140 150Х160Х86']",,,,,,,,,,,,,,,,,,,,,,,,,,
227,,,,,источник,источник питания,['ИСТОЧНИК ВТОРИЧНОГО ЭЛЕКТРОПИТАНИЯ РЕЗЕРВИРОВАННЫЙ'],['187-242В/21-28В 2А 70ВА 2АКБ=7А/ЧАС IP20 139Х89Х65'],,,,,70ва,,2,,,,,,,,,,,,,,,,,,,
228,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['1000ВА/800ВТ 100-280В USB/ETHERNET 145Х230Х397 9,2КГ ЧЕРНЫЙ']",,,,,800,,,usb/ethernet,,,,,,,,,,,,,,,,,,
229,atx,550,20+4pin,,блок,блок питания,['БЛОК ПИТАНИЯ'],['550ВТ ATX12В 2.3 20+4PIN DВЕНТИЛЯТОРА=120 86Х150Х140 СЕРЫЙ'],,,,,,,,,,,,,,,,,,,,,,,,,,
230,atx,750,80plus gold,,блок,блок питания,['БЛОК ПИТАНИЯ'],"['750ВТ ATX12В 2.4/EPS12V 20+4PIN DВЕНТИЛЯТОРА=120 80PLUS GOLD 86Х150Х140 1,7КГ ЧЕРНЫЙ']",,,,,,,,,,,,,,,,,,,,,,,,,,
231,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['1000ВА/600ВТ 165-280В РАЗЪЕМОВ=4 190Х111Х290 6,9КГ ЧЕРНЫЙ']",,,,,600,4,,,,,,,,,,,,,,,,,,,,
232,atx,1000,86,,блок,блок питания,['БЛОК ПИТАНИЯ'],"['1000ВТ ATX12В 2.3 DВЕНТИЛЯТОРА=140 86Х150Х160 1,9КГ ЧЕРНЫЙ']",,,,,,,,,,,,,,,,,,,,,,,,,,
233,,,,,источник,бесперебойное питание,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['600ВА/300ВТ/6РАЗЪЕМОВ/UPSХ4/RJ-11/RJ-45 320Х125Х86 3,7КГ ЧЕРНЫЙ']",,,,,600ва/300вт,6разъемов,,"упс, рj-11, рj-45",,,,,,,,,,,,,,,,,,
234,атх,750,,,блок,блок питания,['БЛОК ПИТАНИЯ'],"['750ВТ ATX12V 2.3/EPS12V ВЕНТИЛЯТОР=140Х140 160Х150Х86 1,82КГ']",,,,,,,,,,,,,,,,,,,,,,,,,,
235,,,,,источник,источник питания,['ИСТОЧНИК ПИТАНИЯ'],"['DC=67,2-143В/48В 0-6,3А 302ВТ 216Х97Х40']",,,,,302,,,,,,,,,,,,,,,,,,,,,
236,,,,,аккумулятор,аккумулятор портативный,['АККУМУЛЯТОР ПОРТАТИВНЫЙ ДЛЯ ЗАРЯДКИ МОБИЛЬНЫХ УСТРОЙСТВ'],['10000МА/ЧАС LI-POL USB/MICROUSB 5В 2А 136Х72Х15 217Г ЧЕРНЫЙ'],портативный,,,,,,,,,,,,,,,,,,,,мобильные устройства,li-pol,,,,
237,,,,,адаптер,адаптер питания,['АДАПТЕР ПИТАНИЯ УНИВЕРСАЛЬНЫЙ'],"['90ВТ 12-20В 11-КОННЕКТОРОВ 4,5А 1ХUSB=2,4А LКАБЕЛЯ=1М 60Х31Х135 385Г ЧЕРНЫЙ']",11,,,,,,,,,,,,,,,,,,,,,,черный,12,,
238,atx,550,,модульный,блок,блок питания,['БЛОК ПИТАНИЯ'],['ATX 12V V.2.4 550ВТ МОДУЛЬ PFC 150Х86Х140'],,,,,,,,,,,,,,,,,,,,,,,,,,
239,,45 вт,,,блок,блок питания,['БЛОК ПИТАНИЯ ДЛЯ НОУТБУКА'],"['45ВТ 20В 2.25А 4,0Х1,7']",,,,,,,,,,,,,,,,,,,,,,,,,,
